EventCount, EventType, OldIDs, NewID, Time, NewVol, X, Y, Z, U, V, W, L1, L2, L3
1, Split,1,2, 1.05369E+01,4.5463362643755230E-04,  8.088852050019E+00, -9.832573403987E-01, -3.837446437350E-01,  8.893109375036E-01,  8.085822822806E-02,  2.326208459314E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
2, Split,1,3, 1.07670E+01,2.0895416267825928E-04,  7.146587042546E+00, -5.076329857858E-01, -1.393368744401E+00,  1.121904818598E-02,  3.662615794833E-02,  8.898320988468E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
3, Split,1,4, 1.07670E+01,2.4227010556393658E-04,  7.345151138425E+00, -5.701736250996E-01, -1.247987402360E+00,  1.339511924681E-01, -1.285506573972E-02,  1.144106831092E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
4, Split,1,5, 1.10348E+01,5.9121678083174597E-05,  7.325123089701E+00, -4.008198782716E-01, -1.507819283521E+00,  5.349110446185E-02,  8.762284828029E-02,  3.118576801124E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
5, Split,1,6, 1.10348E+01,4.2806568515338654E-04,  7.650632789023E+00, -8.216431353971E-01, -1.217645842596E+00,  3.731125563420E-01, -1.097005176730E-01,  2.563921737224E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
6, Merge,1;6;,1, 1.13720E+01,8.9062620028930386E+00
7, Split,1,7, 1.14283E+01,3.5980825863544941E-04,  8.730691094373E+00,  7.568843186601E-01, -1.281016649837E-01,  1.007610217778E+00, -9.139710345049E-02, -1.082856440726E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
8, Split,3,8, 1.14471E+01,2.0864535020532042E-04,  7.197459827210E+00, -4.602642181844E-01, -1.299743299074E+00,  7.280580858698E-02,  6.253547704774E-02,  1.426937543289E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
9, Split,3,9, 1.14471E+01,3.0881101095513159E-07,  7.030802407251E+00, -4.896526564390E-01, -1.333603958800E+00,  6.374300315215E-02,  2.434793925480E-01,  3.227477095808E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
10, Split,1,10, 1.15245E+01,4.4435115558800024E-09,  8.085937500000E+00, -8.178829810281E-01, -1.335937500000E+00, -1.012852756582E-01,  1.058870648851E-01, -8.367004784523E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
11, Split,1,11, 1.15446E+01,9.9588830427966265E-11,  8.226562500000E+00, -1.382812500000E+00,  6.328125000000E-01,  3.752901672439E-02, -8.905924465447E-02,  5.258877592962E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
12, Merge,1;11;,1, 1.16037E+01,9.0869163855371902E+00
13, Split,4,12, 1.16037E+01,1.0516270176848046E-04,  7.465398825584E+00, -4.850872732006E-01, -1.081759796530E+00,  2.746322008445E-01,  4.821043548807E-02,  1.884133952061E-01,  2.350037842300E+03,  7.529262847874E+02,  2.600134071203E+02
